# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
0.030,3,6,9,12,127.000,129.000,0.000,0,0.000,-26.655,-26.655,-0.151655,-0.148244,-0.001706,129.000,32.2500,199.500,1
0.054,8,11,13,16,238.000,17.000,-0.500,1,0.000,-59.325,-59.325,-0.154886,-0.147292,-0.003797,17.500,4.3750,201.000,1
0.066,0,3,6,9,97.000,160.000,0.500,1,0.000,52.407,52.407,-0.146260,-0.152968,0.003354,159.500,39.8750,199.500,1
0.073,0,3,6,9,244.000,11.000,-0.500,1,-15625.000,27.054,-15597.946,-0.146136,-0.149599,0.001731,11.500,2.8750,201.000,1
0.084,3,6,9,12,210.000,45.000,-0.500,1,0.000,-29.773,-29.773,-0.133012,-0.129201,-0.001905,45.500,11.3750,201.000,1
0.089,1,4,17,20,220.000,35.000,-0.500,1,-15625.000,15.322,-15609.678,-0.136429,-0.138390,0.000981,35.500,8.8750,239.941,0
0.092,3,6,9,12,220.000,35.000,-0.500,1,0.000,-48.325,-48.325,-0.138934,-0.132749,-0.003093,35.500,8.8750,200.500,1
0.096,0,3,6,9,141.000,116.000,0.500,1,0.000,0.149,0.149,-0.149871,-0.149890,0.000010,115.500,28.8750,199.500,1
0.106,20,23,27,30,158.000,98.000,0.000,0,0.000,295.336,295.336,-0.108034,-0.145837,0.018901,98.000,24.5000,200.000,1
0.112,2,5,8,11,86.000,170.000,0.000,0,0.000,37.769,37.769,-0.149653,-0.154488,0.002417,170.000,42.5000,200.000,1
0.119,0,3,6,9,232.000,24.000,0.000,0,0.000,-11.242,-11.242,-0.149128,-0.147689,-0.000719,24.000,6.0000,199.000,0
0.130,8,11,14,17,228.000,28.000,0.000,0,0.000,16.944,16.944,-0.149264,-0.151432,0.001084,28.000,7.0000,199.000,1
0.133,4,7,10,13,2.000,254.000,0.000,0,0.000,34.849,34.849,-0.146521,-0.150982,0.002230,254.000,63.5000,200.000,1
0.138,2,5,8,11,16.000,240.000,0.000,0,0.000,-55.680,-55.680,-0.150238,-0.143111,-0.003564,240.000,60.0000,200.000,1
0.181,1,4,7,10,134.000,122.000,0.000,0,0.000,330.452,330.452,-0.115523,-0.157821,0.021149,122.000,30.5000,228.000,0
0.185,4,7,9,12,170.000,86.000,0.000,0,0.000,56.681,56.681,-0.142840,-0.150095,0.003628,86.000,21.5000,200.000,1
0.194,0,3,6,9,4.000,252.000,0.000,0,0.000,-10.194,-10.194,-0.152350,-0.151045,-0.000652,252.000,63.0000,200.000,1
0.209,1,4,7,10,58.000,198.000,0.000,0,0.000,1.614,1.614,-0.150588,-0.150795,0.000103,198.000,49.5000,200.000,1
0.213,1,4,7,10,162.000,94.000,0.000,0,0.000,143.572,143.572,-0.130045,-0.148422,0.009189,94.000,23.5000,200.000,1
0.228,1,4,7,10,144.000,112.000,0.000,0,0.000,157.323,157.323,-0.129660,-0.149798,0.010069,112.000,28.0000,200.000,1
0.260,1,4,8,11,30.000,226.000,0.000,0,0.000,-36.188,-36.188,-0.149370,-0.144737,-0.002316,226.000,56.5000,240.320,0
0.271,8,11,14,17,146.000,110.000,0.000,0,0.000,-52.565,-52.565,-0.143947,-0.137219,-0.003364,110.000,27.5000,200.000,1
0.275,1,4,7,10,42.000,214.000,0.000,0,0.000,14.731,14.731,-0.148588,-0.150474,0.000943,214.000,53.5000,200.000,1
0.282,1,4,8,11,130.000,126.000,0.000,0,0.000,15.603,15.603,-0.145197,-0.147195,0.000999,126.000,31.5000,217.120,0
0.285,2,5,8,11,214.000,42.000,0.000,0,0.000,-82.859,-82.859,-0.151587,-0.140981,-0.005303,42.000,10.5000,200.000,1
0.293,0,3,6,9,56.000,200.000,0.000,0,0.000,96.076,96.076,-0.150521,-0.162819,0.006149,200.000,50.0000,200.000,1
0.301,0,3,5,8,194.000,62.000,0.000,0,0.000,-129.263,-129.263,-0.150140,-0.133594,-0.008273,62.000,15.5000,200.000,1
